Size,Bath,Bed,City_Lisboa,City_Oeiras,City_Other,City_Sintra,good_prop
80,1,3,0,0,1,0,1
250,2,5,0,0,0,1,1
123,4,4,0,0,0,1,1
101,1,2,0,0,1,0,0
118,3,4,0,0,1,0,0
177,4,4,0,0,0,1,0
113,2,3,0,0,0,1,1
130,1,2,0,0,1,0,1
240,3,4,0,0,1,0,1
40,1,2,1,0,0,0,0
54,1,1,0,0,1,0,1
180,3,3,0,0,0,0,0
100,3,3,0,0,1,0,0
134,1,2,0,0,1,0,1
231,1,4,0,0,1,0,0
241,6,5,0,0,0,1,0
204,1,3,0,0,1,0,0
119,2,4,0,0,0,0,1
196,2,3,0,0,0,1,0
216,3,3,0,0,0,1,0
170,4,4,0,0,0,0,0
96,1,2,0,0,1,0,1
64,2,2,0,0,1,0,1
48,1,2,0,0,1,0,1
48,2,3,1,0,0,0,1
57,1,2,0,0,1,0,1
173,4,4,0,0,0,1,0
127,2,3,0,0,1,0,1
112,1,2,0,0,1,0,1
166,3,3,0,0,1,0,1
191,3,4,0,0,0,0,0
185,3,3,0,0,0,0,0
192,4,5,0,0,0,1,0
70,1,2,0,0,1,0,1
166,3,4,0,0,1,0,0
176,2,3,0,0,0,0,1
233,4,3,0,0,1,0,1
211,3,4,0,0,1,0,0
180,3,4,0,0,0,1,1
107,2,3,0,1,0,0,0
170,3,4,0,0,1,0,0
200,3,3,0,0,0,0,0
224,5,4,0,0,0,1,0
215,2,3,0,0,1,0,0
63,1,2,0,0,0,1,1
63,1,2,0,0,0,1,0
176,2,3,0,0,1,0,0
166,3,4,0,0,0,0,1
194,3,4,0,0,0,1,1
112,1,1,1,0,0,0,0
150,3,4,0,0,1,0,0
216,4,6,0,0,1,0,0
170,2,3,0,0,0,1,0
119,3,3,0,0,1,0,0
152,1,2,0,0,0,0,0
126,3,3,0,0,0,0,0
155,2,3,0,0,1,0,1
94,1,3,0,0,0,1,1
177,1,2,0,0,1,0,1
152,2,6,0,0,0,0,0
120,6,3,1,0,0,0,0
75,2,2,0,0,1,0,1
185,2,6,0,0,1,0,1
118,1,2,0,0,1,0,1
65,1,3,0,0,1,0,1
60,1,1,0,0,1,0,1
157,3,3,0,0,1,0,0
168,2,5,0,0,0,1,1
179,3,3,0,0,0,1,0
114,3,4,0,0,0,0,0
255,5,6,0,0,1,0,0
248,3,4,0,0,1,0,0
144,1,3,0,0,1,0,1
83,1,2,0,0,1,0,1
255,3,3,0,0,0,0,0
177,3,3,1,0,0,0,0
90,2,2,0,0,1,0,1
121,2,2,0,0,1,0,1
120,2,2,0,0,1,0,1
242,4,3,1,0,0,0,0
113,2,3,0,0,0,1,0
51,1,1,0,0,1,0,1
174,3,4,0,0,0,0,0
210,4,3,0,0,0,1,0
170,2,5,0,0,1,0,1
258,3,3,0,0,1,0,0
148,3,4,0,0,0,0,0
219,4,5,0,0,0,0,0
104,2,2,0,0,1,0,0
205,3,4,1,0,0,0,0
246,2,4,0,0,1,0,1
76,2,3,0,0,1,0,0
106,2,3,0,0,0,0,0
179,2,3,0,0,1,0,0
177,4,2,0,0,1,0,1
90,2,4,0,0,0,1,1
150,3,4,0,0,0,0,0
49,2,3,1,0,0,0,0
46,1,3,0,0,1,0,0
44,1,2,0,0,1,0,1
96,2,2,0,0,1,0,1
186,3,4,0,0,1,0,1
254,4,5,0,1,0,0,0
102,1,2,0,0,1,0,1
165,2,3,0,0,0,1,0
65,1,2,0,0,1,0,1
64,1,1,0,0,1,0,1
140,4,4,0,0,1,0,0
240,4,4,0,0,0,1,1
