Price,Prop_type,Size,Bath,Bed,City,Division
470,Condo/Apartment,60,1,1,Odivelas,Odivelas
500,Condo/Apartment,30,0,0,Amadora,Mina de Água
500,Condo/Apartment,57,1,2,Azambuja,Vila Nova da Rainha
500,Condo/Apartment,51,1,1,Lisboa,Ajuda
500,Condo/Apartment,43,1,0,Sintra,Cacém e São Marcos
500,Condo/Apartment,80,1,2,Vila Franca de Xira,Póvoa de Santa Iria e Forte da Casa
550,Condo/Apartment,70,1,2,Amadora,Falagueira  Venda Nova
550,Condo/Apartment,86,1,2,Sobral de Monte Agraço,Sobral de Monte Agraço
575,Condo/Apartment,35,1,0,Amadora,Águas Livres
575,Condo/Apartment,58,1,2,Loures,Bucelas
580,Condo/Apartment,25,1,0,Oeiras,Algés
580,Condo/Apartment,106,1,1,Torres Vedras,A dos Cunhados e Maceira
590,Condo/Apartment,56,1,1,Sintra,Queluz e Belas
600,Condo/Apartment,77,1,2,Alenquer,Carregado e Cadafais
600,Condo/Apartment,117,1,2,Loures,Santa Iria de Azoia
600,Condo/Apartment,132,1,1,Sintra,AlgueirãoMem Martins
600,Condo/Apartment,42,0,1,Sintra,Massamá e Monte Abraão
600,Condo/Apartment,54,1,1,Sintra,Queluz e Belas
600,Condo/Apartment,47,1,1,Sintra,Rio de Mouro
600,Condo/Apartment,77,1,2,Vila Franca de Xira,Alverca do Ribatejo e Sobralinho
600,Condo/Apartment,80,1,2,Vila Franca de Xira,Póvoa de Santa Iria e Forte da Casa
625,Condo/Apartment,43,1,1,Amadora,Águas Livres
640,Condo/Apartment,88,2,1,Amadora,Mina de Água
650,Condo/Apartment,50,1,1,Amadora,Águas Livres
650,Condo/Apartment,32,1,0,Lisboa,Beato
650,Condo/Apartment,30,1,2,Lisboa,Campo de Ourique
650,Condo/Apartment,43,1,1,Loures,Sacavém e Prior Velho
650,Condo/Apartment,58,1,1,Sintra,Agualva e MiraSintra
650,Condo/Apartment,39,1,0,Sintra,AlgueirãoMem Martins
650,Condo/Apartment,60,1,1,Sintra,Cacém e São Marcos
650,Condo/Apartment,48,1,1,Sintra,Massamá e Monte Abraão
650,Condo/Apartment,68,1,1,Sintra,Rio de Mouro
650,Condo/Apartment,78,1,2,Vila Franca de Xira,Castanheira do Ribatejo e Cachoeiras
650,Condo/Apartment,69,1,2,Vila Franca de Xira,Castanheira do Ribatejo e Cachoeiras
650,Condo/Apartment,70,1,2,Vila Franca de Xira,Vialonga
650,Condo/Apartment,79,2,2,Vila Franca de Xira,Vila Franca de Xira
670,Condo/Apartment,45,1,1,Oeiras,Oeiras e São Julião da Barra
680,Condo/Apartment,41,1,1,Loures,Moscavide e Portela
690,Condo/Apartment,76,1,2,Vila Franca de Xira,Alhandra
700,Condo/Apartment,70,1,1,Amadora,Águas Livres
700,Condo/Apartment,82,1,2,Amadora,Águas Livres
700,Condo/Apartment,75,1,2,Amadora,Falagueira  Venda Nova
700,Condo/Apartment,62,1,2,Amadora,Venteira
700,Condo/Apartment,50,1,0,Lisboa,Campo de Ourique
700,Condo/Apartment,63,1,2,Loures,Loures
700,Condo/Apartment,112,2,3,Odivelas,Pontinha e Famões
700,Condo/Apartment,65,0,2,Odivelas,Pontinha e Famões
700,Condo/Apartment,123,1,1,Oeiras,Algés
700,Condo/Apartment,43,1,2,Sintra,Agualva e MiraSintra
